date,workout_type,duration(HH:mm:ss),distance(km),steps,elevation(m),weight(lbs),avg_heart_rate,max_heart_rate,notes
25-JUN-2023,hike (backpacking),11:20:00,18.0,41000,936,40,,,"Backpacked down from Spade Lake"
24-JUN-2023,hike (backpacking),14:40:00,18.2,42000,1974,40,,,"Backpacked up to Spade Lake; steps probably undercounted slightly, watch and phone were dead the last couple kms; these workout types will include time for breaks and lunches"
22-JUN-2023,walk (treadmill),00:35:19,3.03,3560,156,0,163,173,""
21-JUN-2023,walk (treadmill),00:33:38,2.90,3471,100,0,149,168,""
20-JUN-2023,walk (treadmill),00:30:13,2.68,3174,157,0,169,177,""
20-JUN-2023,walk (outdoor),00:11:55,1.01,1293,24,137,0,159,"Walk back from optometrist"
20-JUN-2023,walk (outdoor),00:12:13,1.08,1331,19,138,0,168,"Walk to optometrist"
17-JUN-2023,walk (treadmill),00:33:00,3.94,4170,0,0,162,193,"Step count is approximate, forgot to record start steps"
15-JUN-2023,walk (treadmill),01:01:09,5.30,6389,325,0,163,179,"much easier than the last one, maintained 6% and did small 7% climbs for 2 mins every 10 mins (after the first 10 mins)"
14-JUN-2023,walk (outdoor),00:12:58,1.07,1584,19,0,139,161,"Walk home from work office"
14-JUN-2023,walk (outdoor),00:23:46,2.06,2699,12,0,141,158,"Walk to work office; forgot something and didn't realize until halfway"
13-JUN-2023,walk (treadmill),01:05:00,5.64,6769,312,0,170,188,"very hard one, maintained 5% and did big climbs in sprints"
11-JUN-2023,walk (treadmill),01:06:45,6.70,7466,101,0,158,184,""
10-JUN-2023,walk (treadmill),00:30:02,2.49,3207,67,28,153,164,""
09-JUN-2023,walk (treadmill),01:15:24,6.54,7959,260,0,161,177,""
07-JUN-2023,walk (treadmill),01:11:13,6.16,7367,306,0,167,194,"had to work through some pretty bad calf DOMS from stairs"
03-JUN-2023,walk (treadmill),01:40:01,8.68,10291,404,0,163,176,""
01-JUN-2023,walk (treadmill),00:30:05,2.60,3134,108,0,150,161,"exhaustion pt. 2"
01-JUN-2023,walk (outdoor),00:15:48,1.27,1717,26,0,133,152,”long day; exhaustion pt. 1”
01-JUN-2023,walk (outdoor),00:16:36,1.37,1800,2,0,123,148,"Walk to work; step count is rough estimate"
31-MAY-2023,walk (outdoor),00:15:16,1.22,1643,0,0,143,152,”walk to work”
30-MAY-2023,walk (treadmill),01:07:35,5.93,7039,273,0,166,185,””
30-MAY-2023,walk (outdoor),00:17:55,1.56,1932,26,0,141,157,”walk home from work”
28-MAY-2023,walk (treadmill),01:20:22,7.00,8411,312,0,159,173,"maintained 5% @ 5.2kph for ~70 mins straight, easy pace"
26-MAY-2023,walk (treadmill),01:11:33,6.26,7463,218,0,161,176,"Did a fair amount of lifting beforehand, the fatigue was noticeable"
24-MAY-2023,walk (treadmill),01:33:26,8.17,10487,351,0,159,176,""
22-MAY-2023,walk (treadmill),01:09:09,6.20,7384,209,0,157,178,""
21-MAY-2023,walk (outdoor),00:13:13,1.07,1445,14,16,138,163,"Walk from REI"
21-MAY-2023,walk (outdoor),00:14:31,1.09,1550,16,14,133,160,"Walk to REI, end steps was recorded a little late so may be inaccurate"
20-MAY-2023,walk (treadmill),01:07:30,6.26,7402,167,0,167,191,""
17-MAY-2023,walk (treadmill),01:31:10,8.08,9557,140,0,153,186,""
15-MAY-2023,walk (treadmill),01:19:09,6.06,7260,314,0,167,188,""
14-MAY-2023,walk (treadmill),00:12:22,1.14,1353,0,0,134,141,""
13-MAY-2023,walk (treadmill),01:16:46,6.66,7996,330,0,165,186,""
12-MAY-2023,walk (treadmill),00:10:08,0.87,1055,0,0,124,130,""
12-MAY-2023,walk (outdoor),00:26:35,2.12,2694,46,0,144,174,"Walk to/from optometrist"
10-MAY-2023,walk (treadmill),01:35:00,8.03,9792,305,0,162,184,""
09-MAY-2023,walk (treadmill),00:10:01,0.84,1022,0,0,145,150,""
09-MAY-2023,walk (treadmill),00:10:03,0.85,1033,0,0,136,146,""
08-MAY-2023,walk (treadmill),01:17:37,6.68,9112,243,0,160,177,""
07-MAY-2023,walk (treadmill),00:10:00,0.83,969,0,0,146,150,""
07-MAY-2023,walk (treadmill),00:10:01,0.89,1037,0,0,130,146,""
06-MAY-2023,walk (treadmill),00:51:00,4.34,5260,135,0,157,178,"Treadmill died before I could finish and record exact data; distance and elevation are estimates"
05-MAY-2023,walk (outdoor),00:17:13,1.29,1733,22,136,0,158,"Walk back from optometrist; ground still wet"
05-MAY-2023,walk (outdoor),00:12:36,0.97,1335,19,141,0,166,"Walk to optometrist; ground slippery from rain"
04-MAY-2023,walk (treadmill),01:20:01,6.96,8228,305,0,167,182,"maintained 5% @ 5.2kph for 60 mins straight"
30-APR-2023,walk (treadmill),01:11:32,6.14,7313,205,0,162,181,""
28-APR-2023,walk (treadmill),01:00:04,5.17,6289,219,0,157,175,"maintained 5% @ 5.2kph for about 50 mins straight"
